Date,DailyConfirmed,DailyDeceased,DailyRecovered,TotalConfirmed,TotalDeceased,TotalRecovered
2020-01-30,1,0,0,1,0,0
2020-01-31,0,0,0,1,0,0
2020-02-01,0,0,0,1,0,0
2020-02-02,1,0,0,2,0,0
2020-02-03,1,0,0,3,0,0
2020-02-04,0,0,0,3,0,0
2020-02-05,0,0,0,3,0,0
2020-02-06,0,0,0,3,0,0
2020-02-07,0,0,0,3,0,0
2020-02-08,0,0,0,3,0,0
2020-02-09,0,0,0,3,0,0
2020-02-10,0,0,0,3,0,0
2020-02-11,0,0,0,3,0,0
2020-02-12,0,0,0,3,0,0
2020-02-13,0,0,1,3,0,1
2020-02-14,0,0,0,3,0,1
2020-02-15,0,0,0,3,0,1
2020-02-16,0,0,1,3,0,2
2020-02-17,0,0,0,3,0,2
2020-02-18,0,0,0,3,0,2
2020-02-19,0,0,0,3,0,2
2020-02-20,0,0,1,3,0,3
2020-02-21,0,0,0,3,0,3
2020-02-22,0,0,0,3,0,3
2020-02-23,0,0,0,3,0,3
2020-02-24,0,0,0,3,0,3
2020-02-25,0,0,0,3,0,3
2020-02-26,0,0,0,3,0,3
2020-02-27,0,0,0,3,0,3
2020-02-28,0,0,0,3,0,3
2020-02-29,0,0,0,3,0,3
2020-03-01,0,0,0,3,0,3
2020-03-02,2,0,0,5,0,3
2020-03-03,1,0,0,6,0,3
2020-03-04,22,0,0,28,0,3
2020-03-05,2,0,0,30,0,3
2020-03-06,1,0,0,31,0,3
2020-03-07,3,0,0,34,0,3
2020-03-08,5,0,0,39,0,3
2020-03-09,9,0,0,48,0,3
2020-03-10,15,0,1,63,0,4
2020-03-11,8,0,0,71,0,4
2020-03-12,10,1,0,81,1,4
2020-03-13,10,0,6,91,1,10
2020-03-14,11,1,0,102,2,10
2020-03-15,10,0,3,112,2,13
2020-03-16,14,0,1,126,2,14
2020-03-17,20,1,1,146,3,15
2020-03-18,25,0,0,171,3,15
2020-03-19,27,1,5,198,4,20
2020-03-20,58,0,3,256,4,23
2020-03-21,78,0,0,334,4,23
2020-03-22,69,3,0,403,7,23
2020-03-23,94,2,2,497,9,25
2020-03-24,74,1,15,571,10,40
2020-03-25,86,1,3,657,11,43
2020-03-26,73,5,7,730,16,50
2020-03-27,153,3,25,883,19,75
2020-03-28,136,5,10,1019,24,85
2020-03-29,120,3,17,1139,27,102
2020-03-30,187,14,35,1326,41,137
2020-03-31,309,6,13,1635,47,150
2020-04-01,424,6,19,2059,53,169
2020-04-02,486,16,22,2545,69,191
2020-04-03,560,14,39,3105,83,230
2020-04-04,579,13,56,3684,96,286
2020-04-05,609,22,43,4293,118,329
2020-04-06,484,16,65,4777,134,394
2020-04-07,573,27,75,5350,161,469
2020-04-08,565,20,96,5915,181,565
2020-04-09,813,46,70,6728,227,635
2020-04-10,871,22,151,7599,249,786
2020-04-11,854,41,186,8453,290,972
2020-04-12,758,42,114,9211,332,1086
2020-04-13,1243,27,112,10454,359,1198
2020-04-14,1031,37,167,11485,396,1365
2020-04-15,886,27,144,12371,423,1509
2020-04-16,1061,26,258,13432,449,1767
2020-04-17,922,38,273,14354,487,2040
2020-04-18,1371,35,426,15725,522,2466
2020-04-19,1580,38,388,17305,560,2854
2020-04-20,1239,33,419,18544,593,3273
2020-04-21,1537,53,703,20081,646,3976
2020-04-22,1292,36,394,21373,682,4370
2020-04-23,1667,40,642,23040,722,5012
2020-04-24,1408,59,484,24448,781,5496
2020-04-25,1835,44,442,26283,825,5938
2020-04-26,1607,56,585,27890,881,6523
2020-04-27,1568,58,580,29458,939,7103
2020-04-28,1902,69,636,31360,1008,7739
2020-04-29,1705,71,690,33065,1079,8429
2020-04-30,1801,75,630,34866,1154,9059
2020-05-01,2396,77,962,37262,1231,10021
2020-05-02,2564,92,831,39826,1323,10852
2020-05-03,2952,140,911,42778,1463,11763
2020-05-04,3656,103,1082,46434,1566,12845
2020-05-05,2971,128,1295,49405,1694,14140
2020-05-06,3602,91,1161,53007,1785,15301
2020-05-07,3344,104,1475,56351,1889,16776
2020-05-08,3339,97,1111,59690,1986,17887
2020-05-09,3175,115,1414,62865,2101,19301
2020-05-10,4311,112,1669,67176,2213,20970
2020-05-11,3592,81,1579,70768,2294,22549
2020-05-12,3562,120,1905,74330,2414,24454
2020-05-13,3726,137,1963,78056,2551,26417
2020-05-14,3991,97,1594,82047,2648,28011
2020-05-15,3808,104,2234,85855,2752,30245
2020-05-16,4794,120,4012,90649,2872,34257
2020-05-17,5049,152,2538,95698,3024,36795
2020-05-18,4628,131,2482,100326,3155,39277
2020-05-19,6154,146,3032,106480,3301,42309
2020-05-20,5720,134,3113,112200,3435,45422
2020-05-21,6023,148,3131,118223,3583,48553
2020-05-22,6536,142,3280,124759,3725,51833
2020-05-23,6667,142,2576,131424,3867,54409
2020-05-24,7111,156,3285,138537,4023,57694
2020-05-25,6414,150,3012,144951,4173,60706
2020-05-26,5907,173,3585,150858,4346,64291
2020-05-27,7246,188,3434,158104,4534,67725
2020-05-28,7254,176,3171,165358,4710,70896
2020-05-29,8138,269,11735,173496,4979,82631
2020-05-30,8364,205,4303,181860,5184,86934
2020-05-31,8789,222,4928,190649,5406,91862
2020-06-01,7723,201,3882,198372,5607,95744
2020-06-02,8812,222,4531,207187,5829,100275
2020-06-03,9689,259,3789,216876,6088,104064
2020-06-04,9847,274,4390,226723,6362,108454
2020-06-05,9472,286,4770,236195,6648,113224
2020-06-06,10408,297,5433,246603,6945,118657
2020-06-07,10882,261,5191,257485,7206,123848
2020-06-08,8536,271,5171,266021,7477,129019
2020-06-09,9981,272,5634,276002,7749,134653
2020-06-10,11156,358,6275,287158,8107,140928
2020-06-11,11135,394,6044,298293,8501,146972
2020-06-12,11306,388,7263,309599,8889,154235
2020-06-13,12039,309,8092,321638,9198,162327
2020-06-14,11405,324,7358,333043,9522,169685
2020-06-15,10032,396,10639,343075,9918,180324
2020-06-16,11086,2004,7226,354161,11922,187550
2020-06-17,13108,341,6890,367269,12263,194440
2020-06-18,13829,343,10741,381098,12606,205181
2020-06-19,14740,364,9029,395838,12970,214210
2020-06-20,15918,308,13974,411753,13278,228184
2020-06-21,15151,426,9075,426904,13704,237259
2020-06-22,13560,312,10879,440464,14016,248138
2020-06-23,15656,468,10462,456120,14484,258600
2020-06-24,16868,424,13089,472988,14908,271689
2020-06-25,18205,401,13983,491193,15309,285672
2020-06-26,18255,381,10246,509448,15690,295918
2020-06-27,20142,414,14229,529590,16104,310147
2020-06-28,19610,384,11631,549200,16488,321778
2020-06-29,18339,417,13497,567539,16905,335275
2020-06-30,18256,506,12565,585795,17411,347840
2020-07-01,19429,438,12064,605224,17849,359904
2020-07-02,21947,378,19999,627171,18227,379903
2020-07-03,22718,444,14417,649889,18671,394320
2020-07-04,24018,611,14746,673907,19282,409066
2020-07-05,23942,421,15829,697849,19703,424895
2020-07-06,22500,473,15315,720349,20176,440210
2020-07-07,23147,479,16836,743496,20655,457046
2020-07-08,25561,492,19508,769057,21147,476554
2020-07-09,25790,479,19408,794847,21626,495962
2020-07-10,27762,520,20289,822609,22146,516251
2020-07-11,27757,543,19981,850366,22689,536232
2020-07-12,29106,500,18198,879472,23189,554430
2020-07-13,28178,541,17683,907650,23730,572113
2020-07-14,29917,587,20977,937567,24317,593090
2020-07-15,32607,614,20646,970174,24931,613736
2020-07-16,35468,680,22867,1005642,25611,636603
2020-07-17,34820,676,17476,1040462,26287,654079
2020-07-18,37411,543,23583,1077873,26830,677662
2020-07-19,40235,675,22730,1118108,27505,700392
2020-07-20,36806,596,24303,1154914,28101,724695
2020-07-21,39170,671,27589,1194084,28772,752284
2020-07-22,45601,1130,31875,1239685,29902,784159
2020-07-23,48443,755,33326,1288128,30657,817485
2020-07-24,48888,763,32514,1337016,31420,849999
2020-07-25,50072,703,37125,1387088,32123,887124
2020-07-26,48932,704,31512,1436020,32827,918636
2020-07-27,46484,642,34354,1482504,33469,952990
2020-07-28,49631,774,35683,1532135,34243,988673
2020-07-29,52479,775,32886,1584614,35018,1021559
2020-07-30,54968,784,37425,1639582,35802,1058984
2020-07-31,57486,764,36554,1697068,36566,1095538
2020-08-01,55117,854,51368,1752185,37420,1146906
2020-08-02,52672,760,40355,1804857,38180,1187261
2020-08-03,50488,806,43070,1855345,38986,1230331
2020-08-04,51282,849,51220,1906627,39835,1281551
2020-08-05,56626,919,45583,1963253,40754,1327134
2020-08-06,62170,899,50141,2025423,41653,1377275
2020-08-07,61455,936,50387,2086878,42589,1427662
2020-08-08,65156,875,52135,2152034,43464,1479797
2020-08-09,62117,1013,54474,2214151,44477,1534271
2020-08-10,53016,887,47362,2267167,45364,1581633
2020-08-11,61252,835,56461,2328419,46199,1638094
2020-08-12,67066,950,57759,2395485,47149,1695853
2020-08-13,64141,1006,54776,2459626,48155,1750629
2020-08-14,65610,989,56920,2525236,49144,1807549
2020-08-15,63986,952,53116,2589222,50096,1860665
2020-08-16,58096,952,57404,2647318,51048,1918069
2020-08-17,54298,880,58172,2701616,51928,1976241
2020-08-18,65024,1099,60455,2766640,53027,2036696
2020-08-19,69196,979,59365,2835836,54006,2096061
2020-08-20,68518,981,61873,2904354,54987,2157934
2020-08-21,69029,953,62858,2973383,55940,2220792
2020-08-22,70067,918,59101,3043450,56858,2279893
